2025-05-19 17:16:23 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:23 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:23 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:23 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:23 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:23 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:23 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:23 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:23 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:23 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:23 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:23 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:23 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:23 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:24 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:24 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:24 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:24 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:24 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:24 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:24 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:24 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:24 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:24 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:24 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:24 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:24 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:24 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:24 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:24 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:25 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:25 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:25 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:25 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:25 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:25 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:25 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:25 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:25 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:25 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:25 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:25 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:25 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:25 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:25 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:25 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:26 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:26 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:26 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:26 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:26 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:26 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:26 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:26 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:26 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:26 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:26 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:26 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:26 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:26 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:26 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:26 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:27 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:27 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:27 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:27 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:27 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:27 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:27 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:27 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:27 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:27 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:27 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:27 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:27 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:27 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:27 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:27 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:28 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:28 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:28 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:28 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:28 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:28 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:28 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:28 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:28 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:28 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:28 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:28 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:28 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:28 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:28 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:28 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:28 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:29 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:29 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:29 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:29 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:29 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:29 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:29 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:29 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:29 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:29 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:29 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:29 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:29 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:29 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:29 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:29 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:30 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:30 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:30 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:30 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:30 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:30 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
